id,nome,profissao,nascimento,sexo,peso,altura,nacionalidade
3,"Emerson Gabriel",Programador,1920-12-30,M,50.20,1.65,Moçambique
6,"Letícia Neves",Programador,1999-12-03,F,87.00,2.00,Brasil
9,"Jackson Telles",Programador,1999-01-23,M,55.75,1.33,Portugal
13,"Allan Silva",Programador,1993-11-11,M,76.99,1.55,Brasil
19,"Nara Matos",Programador,1978-03-17,F,65.90,1.33,Brasil
25,"Raian Porto",Programador,1989-05-05,M,54.89,1.54,Brasil
30,"Anderson Rafael",Programador,1989-12-01,M,64.22,1.44,Irlanda
35,"Márcio Mello",Programador,2011-11-20,M,54.11,1.55,EUA
40,"André Schmidt",Programador,1993-07-26,M,55.37,1.22,Angola
45,"Bruna Teles",Programador,1980-11-07,F,55.10,1.86,Brasil
48,"Elaine Nunes",Programador,1998-08-15,F,35.90,2.00,Canadá
49,"Silvio Ricardo",Programador,2012-03-12,M,65.99,1.23,EUA
54,"Andre Santini",Programador,1991-08-15,M,66.00,1.76,Itália
55,"Ruan Valente",Programador,1998-03-19,M,101.90,1.76,Canadá
58,"Carlos Camargo",Programador,2005-02-22,M,124.65,1.33,Brasil
61,"Silvana Albuquerque",Programador,1999-05-22,F,56.00,1.50,Brasil
